id	title	name	publication_date	body	new_title
470110	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	--Does cover--will cover everyone. Number one. Number two, the fact is that my plan also calls for controlling and drug prices. The bio pharma is now where things are going to go. It's no longer chemicals. It's about all these breakthroughs we've had with the dealing with the whole, excuse me, immune system. And what we have to do now is we have to have a form that sits in the HHS and says as you develop a drug, you've got to come to us and decide what you can sell it for. We will set the price. And secondly, it says that you cannot raise that price beyond the cost of inflation from this point on and the--	Democratic Presidential Debate - July 31 | CNN
470111	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	I--I would like to respond.	Democratic Presidential Debate - July 31 | CNN
470112	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-07-31	Well, I know that this is something very personal for all Americans. You know, I grew up with that grandmother that hide diabetes and I watched as her condition got worse and worse. That whole time she had to Medicare. I want to strengthen Medicare for the people who are on it and then expand it to anybody who wants it. I also believe though that if somebody has a private health insurance plan that is strong that they want to hold on to that they should be able to do that. What I don't believe is that the profit motive of big Pharma or big insurance companies should ever determine in our great nation whether somebody gets healthcare or not.	Democratic Presidential Debate - July 31 | CNN
470113	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	Well, first of all, with all due respect to my friend, Michael Bennett, my plan is--does not offer anything that is illegal. What it does is it separates the employer from healthcare, meaning that where you work will not be--the kind of healthcare you get will not be a function of where you work. I have met so many Americans who stick to a job that they do not like where they are not prospering simply because they need the healthcare that that employer provides. It's time that we separate employers from the kind of healthcare people get. And under my plan, we do that. As it relates to the insurance and the pharmaceutical companies--	Democratic Presidential Debate - July 31 | CNN
470114	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--Who will not be called in and who will not be taken to task by Senator Biden--	Democratic Presidential Debate - July 31 | CNN
470115	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--Or Senator Bennet's plan--	Democratic Presidential Debate - July 31 | CNN
470116	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	--We will do that.	Democratic Presidential Debate - July 31 | CNN
470117	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Kamala Harris	2019-07-31	He--we cannot keep with the Republican talking points on this. You've got to stop. The reality is that what--under my Medicare for all plan, yes, employers not going to be able to dictate the kind of healthcare that their employees get. They will be able to make that decision. Private insurance companies and private carriers, if they comply by our rules and play by our rules, will be able to offer those employees health care coverage under your private Medicare plan or they can have the option of a public Medicare plan. But is misleading to suggest that employees want what their employer is offering only. They want choice and my plan gives that to them.	Democratic Presidential Debate - July 31 | CNN
470118	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Andrew Yang	2019-07-31	I just want to share a story. When I told my wife I was running for president you know, the first question she asked me? What are we going to do about our healthcare? That's a true story and it's not just us. Democrats are talking about our healthcare in the wrong way. As someone who has run a business I can tell you flat out our current healthcare system makes it harder to hire, it makes it harder to treat people well and give them benefits and treat them as full-time employees, it makes it harder to switch jobs as Senator Harris just said and it is certainly a lot harder to start a business. If we say look, we are going to get healthcare off the backs of businesses and families then watch American entrepreneurship recover and bloom. That's the argument we should be making to the American people.	Democratic Presidential Debate - July 31 | CNN
470119	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	I don't understand why democrats on this stage are fear mongering about universal healthcare. It makes no sense. Ask the American people--they are sick of what the pharmaceutical companies are doing to them. Ask them what they feel about the health insurance companies. They feel they are holding back their families because they can't get the coverage they need. They get a lot of nos. They don't get a lot of health from health insurance companies.	Democratic Presidential Debate - July 31 | CNN
470120	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Why are we not going to be the party that does something bold? That says, we don't need to be dependent on private insurance. We can have a system that actually covers everyone. You know what? Donald Trump won this state of Michigan by saying he was going to disrupt the status quo. How about we be the party that's going to disrupt the status quo for working people.	Democratic Presidential Debate - July 31 | CNN
470121	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Certainly, with all due respect to Senator Bennet, what he is saying is absolutely inaccurate about taxes. Americans right now are paying so much money for their healthcare. Ask people about the reality of their premiums, deductibles, copays, out of pocket expenses--	Democratic Presidential Debate - July 31 | CNN
470122	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	--that's worse than any tax.	Democratic Presidential Debate - July 31 | CNN
470123	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	People are paying that right now.	Democratic Presidential Debate - July 31 | CNN
470124	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	Senator, if we as democrats say we are done with private insurance that has only hurt he American people in so many ways we are going to give something that works t=for their families full coverage that they can depend on. If we say that then there is an election. The American people get to decide. The ultimate choice, Senator, is an election. And this should be the party that stands for universal healthcare and says, we are not going to accept anything less. Right now in America so many people don't have the healthcare they need. That is a fact. 10s of millions of people including middle class people. Give them a chance--	Democratic Presidential Debate - July 31 | CNN
470125	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Bill de Blasio	2019-07-31	--through an election.	Democratic Presidential Debate - July 31 | CNN
470126	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	This is not a republican talking point. Republicans are trying to kill Obamacare. Obamacare took care of 20 million people right off the bat. 100 million people with pre-existing conditions. And in fact, what we got is a public option that in fact, would allow anybody to buy in. No one has to keep their private insurance. They can buy into this plan. And they can buy into it with a thousand dollar deductible and never have to pay more than 8.5 percent of their income when they do it. And if they don't have any money they get in free. So, this idea is a bunch of malarkey that we're talking about here.	Democratic Presidential Debate - July 31 | CNN
470127	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	The fact of the matter is--the fact of the matter is that there will be a deductible or a deductible in their paycheck. Bernie acknowledges it. Bernie acknowledges. 3 -- $30 trillion has to ultimately be paid. And I don't know what math you do in New York. I don't know what math you do in California, but I tell you that --	Democratic Presidential Debate - July 31 | CNN
470128	CNN HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Joe Biden	2019-07-31	--that's a lot of money, and there will be a deductible. The deductible will be out of your paycheck because that is what will be required.	Democratic Presidential Debate - July 31 | CNN
