id	title	name	publication_date	body	new_title
737332	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--But, I--	Democratic Presidential Debate - July 30 | CNN
737333	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Bernie Sanders	2019-07-30	--Hey--	Democratic Presidential Debate - July 30 | CNN
737334	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	So, we don't have to stand up here speculating about whether the public option will be better than--or a Medicare for All environment will be better than the corporate options. We can put it to the test. That's the concept of my Medicare for All Who Want It proposal. That way, if people like me are right, that the public alternative is going to be not only more comprehensive, but more affordable than any other corporate options around there, we'll see Americans walk away from the corporate options into that Medicare option and it will become Medicare for All--	Democratic Presidential Debate - July 30 | CNN
737335	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--We--	Democratic Presidential Debate - July 30 | CNN
737336	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	--Without us having to kick--	Democratic Presidential Debate - July 30 | CNN
737337	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Elizabeth Warren	2019-07-30	--We have (INAUDIBLE)--	Democratic Presidential Debate - July 30 | CNN
737338	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	--Anybody off.	Democratic Presidential Debate - July 30 | CNN
737339	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	I think you can buy into it. That's the idea of Medicare for All Who Want It. Look, this is a distinction without a difference, whether you're paying the same money in the form of taxes or premiums. Look, in this country, if you have health coverage--if you don't have health coverage, you're paying too much for care. And if you do have health coverage, you're paying--	Democratic Presidential Debate - July 30 | CNN
737340	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Pete Buttigieg	2019-07-30	--Too much for care.	Democratic Presidential Debate - July 30 | CNN
737341	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	The answer is no, the middle class will not pay more in taxes in order to ensure that every American is guaranteed world class healthcare. I think we're being offered in a false choice.	Democratic Presidential Debate - July 30 | CNN
737342	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	Some who want to improve the affordable care act at the margins. Others who want a Medicare for all program that will force people off of private insurance. I have a better path--Medicare for America. Everyone who is uninsured is enrolled in Medicare tomorrow. Those who are insufficiently insured are enrolled in Medicare.	Democratic Presidential Debate - July 30 | CNN
737343	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	Those who have (INAUDIBLE).	Democratic Presidential Debate - July 30 | CNN
737344	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	You have some, Governor Bullock, who said that we will improve the affordable care act at the margins with a public option. You have others to my right who are talking about taking away people's choice for the private insurance that they have or members of unions. I was listening today--	Democratic Presidential Debate - July 30 | CNN
737345	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	His--his (INAUDIBLE) they are offering a false choice.	Democratic Presidential Debate - July 30 | CNN
737346	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Beto O'Rourke	2019-07-30	Every--every estimate that I've seen of expanding ACA even through a public option still leaves millions of people uninsured and also means that people are not guaranteed the healthcare that they need as the example that Senator Warren showed us. Our plan ensures that everyone is enrolled in Medicare or can keep their employer sponsored insurance. When we listen to the American people and this is what they want us to do--they want everyone covered but they want to be able to maintain choice and our plan does that.	Democratic Presidential Debate - July 30 | CNN
737347	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Amy Klobuchar	2019-07-30	That is incorrect. I just have a better way to do this. And in one of my first debates, Jake, I was called a street fighter from the iron range by my opponent. And when she said it I said, thank you. So, this is what I think we need to get done. We need the public option. That's what Barack Obama wanted and it would bring healthcare costs down for everyone. And by the way, I just don't buy this. I've heard some of these candidates say that it somehow not moral if you -- not moral to not have that public option. Well Senator Sanders was actually on a public option bill last year and that was Bernie the Medicaid public option bill that Senator Schatz introduced. Clearly, this is the easiest way to move forward quickly and I want to get things done. People can't wait. I've got my friend Nicole out there whose son was actually died trying to ration his insulin as a restaurant manager and he died because he didn't have enough money to pay for it. And Bernie and I have worked on pharmaceutical (INAUDIBLE) together--	Democratic Presidential Debate - July 30 | CNN
737348	CNN HOSTS 2020 DEMOCRATIC PRESIDENTIAL DEBATES IN DETROIT, NIGHT 1	Amy Klobuchar	2019-07-30	We can get health expenses (INAUDIBLE).	Democratic Presidential Debate - July 30 | CNN
