id	title	name	publication_date	body	new_title
753357	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	--I will not take contributions from corporate tax or pharma executives because they are part of this problem. And this opioid addiction in our country we in cities like mine have been seeing how we have been trying to arrest our way out of addiction for too long. It is time that we have a national urgency to deal with this problem and make the solutions that are working to actually be the law of our land and make the pharmaceutical that are responsible help to--help to pay for that.	Democratic Presidential Debate - June 26 (Full) | NBC News
753358	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Beto O'Rourke	2019-06-26	Tonight in this country you have 2.3 million or fellow Americans behind bars. It's the largest prison population on the face of the planet. Many are there for non-violent drug crimes including possession of marijuana at a time that more than half the states have legalized it or decriminalized. And despite what Purdue Pharma has done--their connection to the opioid crisis and the overdose deaths that we're seeing throughout this country they've been able to act with complete impunity and pay no consequences not a single night in jail. Unless there's accountability and justice this crisis will continue. In my administration we will hold them to account. We will make sure that they pay a price and we will help those that have been a victim of these malfeasance in this country get them treatment and long-term care.	Democratic Presidential Debate - June 26 (Full) | NBC News
753359	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	Thank you very much, Jose. I'm very proud that in April I became the first candidate to put forward a comprehensive immigration plan and we saw those images--	Democratic Presidential Debate - June 26 (Full) | NBC News
753360	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	--watching that image of Oscar and his daughter Valeria is heartbreaking. It should also piss us all off.	Democratic Presidential Debate - June 26 (Full) | NBC News
753361	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	If I were president--and it should spur us to action. If I were president I would sign an executive order that would get rid of Trump's zero tolerance policy, the remain in Mexico policy and the metering policy. This metering policy is basically what prompted Oscar and Valeria to make that risky swim across the river--river. They have been playing games with people who are coming and trying to seek asylum at the ports of entry. Oscar and Valeria went to a port of entry and then they were denied the ability to make an asylum claim. So, they got frustrated and they tried to cross the river and they died because of that.	Democratic Presidential Debate - June 26 (Full) | NBC News
753362	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	On day one I would sign an executive order that would address metering and the in would follow that up in my first 100 days with immigration reform that would honor asylum claims. That would put undocumented immig--undocumented immigrants as long as they haven't committed a serious crime on a pathway to citizenship and we get to the root cause of the issue which is--we need a marshal plan for Honduras and Guatemala and El Salvador.	Democratic Presidential Debate - June 26 (Full) | NBC News
753363	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	So that people can find safety and opportunity at home instead of coming to the United States to seek it.	Democratic Presidential Debate - June 26 (Full) | NBC News
753364	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	Yes. (UNTRANSLATED) On day one I will make sure that number one, we end the ICE policies and the customs and border policies are violating the human rights. When people come to their--this country they do not leave their human rights at the border.	Democratic Presidential Debate - June 26 (Full) | NBC News
753365	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	Number two, I will make sure that we reinstate DACA, that we reinstate pathways to citizenship for DACA recipients and to make sure that people who are here on temporary protected status can stay and remain here. And then finally, we need to make sure that we address the issues that made Oscar and Valeria come in the first place by making major investments in the Northern Triangle. Not like this president is doing by ripping away the resources we need to actually solve this problem. We cannot surrender our values and think that we are going to get border security. We actually will lose security and our values. We must fight for both.	Democratic Presidential Debate - June 26 (Full) | NBC News
753366	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	If I might very briefly--and this is an important point. My plan and I'm glad to see that Senator Booker, Senator Warren and Governor Inslee agree with me on this--my plan also includes getting red--getting rid of Section 1325 of Immigration Nationality Act. To go back to the way we used to treat this--when somebody comes across the border not to criminalize desperation.	Democratic Presidential Debate - June 26 (Full) | NBC News
753367	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	To treat that as a civil violation. And--and here is why it's important--we see all of this horrendous family separation they use that law Section 1325 to justify under the law separating little children from their families.	Democratic Presidential Debate - June 26 (Full) | NBC News
753368	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	Jose you were not asked--	Democratic Presidential Debate - June 26 (Full) | NBC News
753369	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Julian Castro	2019-06-26	--So I challenge every single candidate on this stage to support the repeal of Section 1325.	Democratic Presidential Debate - June 26 (Full) | NBC News
753370	NBC NEWS HOLDS DEMOCRATIC PRESIDENTIAL CANDIDATES DEBATE	Cory Booker	2019-06-26	I already have.	Democratic Presidential Debate - June 26 (Full) | NBC News
